signal_name,category,agg_type,rows_in,rows_out,notes
dintVolGasVerbrauchBhkwImp1,chp_gas,delta,20605,127,ok
dintVolGasVerbrauchBhkwImp2,chp_gas,delta,20592,127,ok
greal_Administrator_HT,control_param,last,42,35,ok
greal_AZ_WP_Energie,hp_energy,delta,302314,25225,ok
greal_BatterieLadeZustand,battery_soc,mean,4565654,25400,ok
greal_E__WMZ_BHKW,thermal_energy,delta,4501221,25035,ok
greal_E__WMZ_WWout,thermal_energy,delta,4501221,25035,ok
greal_E_BatterieAbgabe,battery_energy,delta,4501562,25037,ok
greal_E_BatterieLaden,battery_energy,delta,4501562,25037,ok
greal_E_bhkw1,chp_energy,delta,4501169,25037,ok
greal_E_bhkw2,chp_energy,delta,4501562,25037,ok
greal_E_ErzeugungEnFa,pv_generation,mean,4501562,25037,ok
greal_E_Gebaeude,building_energy,delta,4501286,25035,ok
greal_E_GebaeudeNord,building_energy,delta,4501562,25037,ok
greal_E_GebaeudeSued,building_energy,delta,4501562,25037,ok
greal_E_GebaeudeSystem,building_energy,delta,4501562,25037,ok
greal_E_Gesamtverbrauch,building_energy,delta,4501562,25037,ok
greal_E_PV1,pv_energy,delta,4501562,25037,ok
greal_E_PV2,pv_energy,delta,4501562,25037,ok
greal_E_PV3,pv_energy,delta,4501562,25037,ok
greal_E_PV4,pv_energy,delta,4501562,25037,ok
greal_E_PV5,pv_energy,delta,4501562,25037,ok
greal_E_PV6,pv_energy,delta,4501562,25037,ok
greal_E_PV7,pv_energy,delta,4501562,25037,ok
greal_E_PV_Gesamt,pv_energy,delta,4501477,25037,ok
greal_E_Tankstelle1,ev_energy,delta,4501561,25037,ok
greal_E_Tankstelle2,ev_energy,delta,4501562,25037,ok
greal_E_Tankstelle3,ev_energy,delta,4501024,25037,ok
greal_E_WP,hp_energy,delta,4501562,25037,ok
greal_EK_WMZ_WWout,thermal_energy,delta,4501152,25035,ok
greal_Gas_bhkw1,chp_gas,delta,4501536,25037,ok
greal_Gas_bhkw2,chp_gas,delta,4501537,25037,ok
greal_Gas_bhkwges,chp_gas,delta,4501524,25037,ok
greal_JalousienMaxWind,control_param,last,37,31,ok
greal_K_WMZ_E_Altbau,thermal_energy,delta,4513933,25108,ok
greal_K_WMZ_E_Bespr,thermal_energy,delta,4513927,25108,ok
greal_K_WMZ_E_bhkw1,thermal_energy,delta,6,0,snapshot_skipped (6 rows)
greal_K_WMZ_E_bhkw2,thermal_energy,delta,6,0,snapshot_skipped (6 rows)
greal_K_WMZ_E_GF,thermal_energy,delta,4513927,25108,ok
greal_K_WMZ_E_Halle,thermal_energy,delta,4513933,25108,ok
greal_K_WMZ_E_Nord,thermal_energy,delta,4513933,25108,ok
greal_K_WMZ_E_Server,thermal_energy,delta,4513927,25108,ok
greal_K_WMZ_E_Sued,thermal_energy,delta,4513933,25108,ok
greal_K_WMZ_E_WP,thermal_energy,delta,4513933,25108,ok
greal_K_WMZ_P_Altbau,thermal_power,mean,4513931,25108,ok
greal_K_WMZ_P_Bespr,thermal_power,mean,4513925,25108,ok
greal_K_WMZ_P_bhkw1,thermal_power,mean,6,0,snapshot_skipped (6 rows)
greal_K_WMZ_P_bhkw2,thermal_power,mean,6,0,snapshot_skipped (6 rows)
greal_K_WMZ_P_GF,thermal_power,mean,4513925,25108,ok
greal_K_WMZ_P_Halle,thermal_power,mean,4513931,25108,ok
greal_K_WMZ_P_Nord,thermal_power,mean,4513931,25108,ok
greal_K_WMZ_P_Server,thermal_power,mean,4513925,25108,ok
greal_K_WMZ_P_Sued,thermal_power,mean,4513931,25108,ok
greal_K_WMZ_P_WP,thermal_power,mean,4511072,25093,ok
greal_K_WMZ_TR_Altbau,heating_return_temp,mean,4923069,25108,ok
greal_K_WMZ_TR_Bespr,heating_return_temp,mean,4923048,25108,ok
greal_K_WMZ_TR_bhkw1,heating_return_temp,mean,6,0,snapshot_skipped (6 rows)
greal_K_WMZ_TR_bhkw2,heating_return_temp,mean,6,0,snapshot_skipped (6 rows)
greal_K_WMZ_TR_GF,heating_return_temp,mean,4922927,25108,ok
greal_K_WMZ_TR_Halle,heating_return_temp,mean,4923027,25108,ok
greal_K_WMZ_TR_Nord,heating_return_temp,mean,4923134,25108,ok
greal_K_WMZ_TR_Server,heating_return_temp,mean,4923202,25108,ok
