Unnamed: 0,_time,_value,_field,_measurement
,2022-11-30T10:20:49.846Z,20,value,A
,2022-11-30T10:20:54.843Z,25,value,A
,2022-11-30T10:20:59.846Z,30,value,A
,2022-11-30T10:21:04.849Z,35,value,A
,2022-11-30T10:21:09.849Z,40,value,A
,2022-11-30T10:21:14.853Z,45,value,A
,2022-11-30T10:21:19.854Z,50,value,A
,2022-11-30T10:21:24.855Z,55,value,A
,2022-11-30T10:21:29.859Z,60,value,A
,2022-11-30T10:21:34.862Z,56,value,A
,2022-11-30T10:21:39.863Z,51,value,A
,2022-11-30T10:21:44.864Z,46,value,A
,2022-11-30T10:21:49.866Z,41,value,A
,2022-11-30T10:21:54.868Z,36,value,A
,2022-11-30T10:22:01Z,30,value,A
,2022-11-30T10:22:11Z,20,value,A
,2022-11-30T10:22:16Z,15,value,A
,2022-11-30T10:22:21Z,10,value,A
,2022-11-30T10:22:26Z,5,value,A
,2022-11-30T10:22:31Z,0,value,A
,2022-11-30T10:22:36Z,4,value,A
