Unnamed: 0,_time,_value,_field,_measurement
,2022-12-15T10:28:59Z,30,value,V_real_maxAT_K
,2022-12-16T14:20:26Z,30,value,V_real_maxAT_K
,2022-12-16T15:05:26Z,0,value,V_real_maxAT_K
,2022-12-16T15:10:27Z,30,value,V_real_maxAT_K
,2022-12-21T16:57:22Z,30,value,V_real_maxAT_K
,2022-12-22T08:09:13Z,30,value,V_real_maxAT_K
,2022-12-22T16:02:23Z,30,value,V_real_maxAT_K
,2023-01-23T14:30:44Z,30,value,V_real_maxAT_K
,2023-03-23T15:21:40Z,30,value,V_real_maxAT_K
,2023-03-23T15:53:46Z,30,value,V_real_maxAT_K
,2023-04-03T09:40:02Z,30,value,V_real_maxAT_K
,2023-04-24T13:45:42Z,30,value,V_real_maxAT_K
,2023-04-26T11:39:44Z,30,value,V_real_maxAT_K
,2023-04-26T12:42:45Z,30,value,V_real_maxAT_K
,2023-04-26T12:52:53Z,30,value,V_real_maxAT_K
,2023-05-15T12:08:42Z,30,value,V_real_maxAT_K
,2023-05-17T07:03:02Z,30,value,V_real_maxAT_K
,2023-07-08T12:37:56Z,30,value,V_real_maxAT_K
,2023-07-13T14:22:57Z,25,value,V_real_maxAT_K
,2023-07-19T15:59:29Z,25,value,V_real_maxAT_K
,2023-07-24T12:25:29Z,25,value,V_real_maxAT_K
