Unnamed: 0,_time,_value,_field,_measurement
,2022-12-15T12:57:32Z,82,value,Vreal_WP_Ein_BatterieKritsch
,2022-12-16T14:20:27Z,82,value,Vreal_WP_Ein_BatterieKritsch
,2022-12-16T15:05:27Z,0,value,Vreal_WP_Ein_BatterieKritsch
,2022-12-16T15:10:27Z,82,value,Vreal_WP_Ein_BatterieKritsch
,2022-12-21T16:57:22Z,82,value,Vreal_WP_Ein_BatterieKritsch
,2022-12-22T08:09:13Z,82,value,Vreal_WP_Ein_BatterieKritsch
,2022-12-22T16:02:23Z,82,value,Vreal_WP_Ein_BatterieKritsch
,2023-01-23T14:30:44Z,82,value,Vreal_WP_Ein_BatterieKritsch
,2023-02-18T11:30:51Z,80,value,Vreal_WP_Ein_BatterieKritsch
,2023-02-18T11:40:51Z,81,value,Vreal_WP_Ein_BatterieKritsch
,2023-03-23T15:21:41Z,81,value,Vreal_WP_Ein_BatterieKritsch
,2023-03-23T15:53:46Z,81,value,Vreal_WP_Ein_BatterieKritsch
,2023-04-03T09:40:02Z,81,value,Vreal_WP_Ein_BatterieKritsch
,2023-04-24T13:45:42Z,81,value,Vreal_WP_Ein_BatterieKritsch
,2023-04-26T11:39:45Z,81,value,Vreal_WP_Ein_BatterieKritsch
,2023-04-26T12:42:45Z,81,value,Vreal_WP_Ein_BatterieKritsch
,2023-04-26T12:52:53Z,81,value,Vreal_WP_Ein_BatterieKritsch
,2023-05-15T12:08:42Z,81,value,Vreal_WP_Ein_BatterieKritsch
,2023-05-17T07:03:02Z,81,value,Vreal_WP_Ein_BatterieKritsch
,2023-07-08T12:37:56Z,81,value,Vreal_WP_Ein_BatterieKritsch
,2023-07-19T15:59:30Z,81,value,Vreal_WP_Ein_BatterieKritsch
