Unnamed: 0,_time,_value,_field,_measurement
,2022-11-30T10:41:18Z,29,value,_value
,2022-11-30T10:41:19Z,30,value,_value
,2022-11-30T10:41:20Z,31,value,_value
,2022-11-30T10:41:21Z,32,value,_value
,2022-11-30T10:41:22Z,33,value,_value
,2022-11-30T10:41:23Z,34,value,_value
,2022-11-30T10:41:24Z,35,value,_value
,2022-11-30T10:41:25Z,36,value,_value
,2022-11-30T10:41:26Z,37,value,_value
,2022-11-30T10:41:27Z,38,value,_value
,2022-11-30T10:41:28Z,39,value,_value
,2022-11-30T10:41:29Z,40,value,_value
,2022-11-30T10:41:30Z,41,value,_value
,2022-11-30T10:41:31Z,42,value,_value
,2022-11-30T10:41:32Z,43,value,_value
,2022-11-30T10:41:33Z,44,value,_value
,2022-11-30T10:41:34Z,45,value,_value
,2022-11-30T10:41:35Z,46,value,_value
,2022-11-30T10:41:36Z,47,value,_value
,2022-11-30T10:41:37Z,48,value,_value
,2022-11-30T10:41:38Z,49,value,_value
