Unnamed: 0,_time,_value,_field,_measurement
,2022-12-07T15:56:28Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:56:39Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:56:51Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:57:08Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:57:09Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:57:10Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:57:24Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:57:44Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:58:04Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:58:24Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:58:44Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:59:04Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T15:59:44Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T16:00:04Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T16:00:12Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T16:00:26Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T16:00:46Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T16:01:06Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T16:01:26Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T16:01:46Z,544370534,value,dintVolGasVerbrauchBhkwImp1
,2022-12-07T16:02:06Z,544370534,value,dintVolGasVerbrauchBhkwImp1
