Unnamed: 0,_time,_value,_field,_measurement
,2022-12-14T14:40:41Z,35.5,value,grealIstWaermepumpVorlauf
,2022-12-14T14:45:41Z,36.60000228881836,value,grealIstWaermepumpVorlauf
,2022-12-14T14:50:41Z,37.70000076293945,value,grealIstWaermepumpVorlauf
,2022-12-14T16:38:33Z,43.900001525878906,value,grealIstWaermepumpVorlauf
,2022-12-14T16:43:33Z,44.400001525878906,value,grealIstWaermepumpVorlauf
,2022-12-14T16:48:33Z,45.10000228881836,value,grealIstWaermepumpVorlauf
,2022-12-14T16:53:33Z,45.60000228881836,value,grealIstWaermepumpVorlauf
,2022-12-14T16:58:33Z,46.29999923706055,value,grealIstWaermepumpVorlauf
,2022-12-14T17:03:33Z,47.0,value,grealIstWaermepumpVorlauf
,2022-12-14T17:08:33Z,47.79999923706055,value,grealIstWaermepumpVorlauf
,2022-12-14T17:13:33Z,49.10000228881836,value,grealIstWaermepumpVorlauf
,2022-12-14T17:18:33Z,50.400001525878906,value,grealIstWaermepumpVorlauf
,2022-12-14T17:23:33Z,50.900001525878906,value,grealIstWaermepumpVorlauf
,2022-12-14T17:28:33Z,50.900001525878906,value,grealIstWaermepumpVorlauf
,2022-12-14T17:33:33Z,50.5,value,grealIstWaermepumpVorlauf
,2022-12-14T17:38:33Z,49.79999923706055,value,grealIstWaermepumpVorlauf
,2022-12-14T17:43:33Z,49.10000228881836,value,grealIstWaermepumpVorlauf
,2022-12-14T17:48:33Z,48.60000228881836,value,grealIstWaermepumpVorlauf
,2022-12-14T17:53:33Z,47.900001525878906,value,grealIstWaermepumpVorlauf
,2022-12-14T17:58:33Z,47.5,value,grealIstWaermepumpVorlauf
,2022-12-14T18:03:33Z,47.20000076293945,value,grealIstWaermepumpVorlauf
