Unnamed: 0,_time,_value,_field,_measurement
,2022-12-07T10:09:55Z,4.780799865722656,value,grealTempAussenGefiltert
,2022-12-07T10:09:57Z,4.781800270080566,value,grealTempAussenGefiltert
,2022-12-07T10:09:58Z,4.782599925994873,value,grealTempAussenGefiltert
,2022-12-07T10:10:58Z,4.809200286865234,value,grealTempAussenGefiltert
,2022-12-07T10:11:18Z,4.796999931335449,value,grealTempAussenGefiltert
,2022-12-07T10:11:38Z,4.805200099945068,value,grealTempAussenGefiltert
,2022-12-07T10:12:03Z,4.807000160217285,value,grealTempAussenGefiltert
,2022-12-07T10:12:05Z,4.811600208282471,value,grealTempAussenGefiltert
,2022-12-07T10:12:25Z,4.804600238800049,value,grealTempAussenGefiltert
,2022-12-07T10:13:01Z,4.812600135803223,value,grealTempAussenGefiltert
,2022-12-07T10:13:21Z,4.805600166320801,value,grealTempAussenGefiltert
,2022-12-07T10:13:41Z,4.763400077819824,value,grealTempAussenGefiltert
,2022-12-07T10:14:02Z,4.755199909210205,value,grealTempAussenGefiltert
,2022-12-07T10:14:21Z,4.725599765777588,value,grealTempAussenGefiltert
,2022-12-07T10:14:42Z,4.716799736022949,value,grealTempAussenGefiltert
,2022-12-07T10:15:01Z,4.730400085449219,value,grealTempAussenGefiltert
,2022-12-07T10:15:22Z,4.74459981918335,value,grealTempAussenGefiltert
,2022-12-07T10:15:42Z,4.771999835968018,value,grealTempAussenGefiltert
,2022-12-07T10:16:02Z,4.817200183868408,value,grealTempAussenGefiltert
,2022-12-07T10:16:22Z,4.845200061798096,value,grealTempAussenGefiltert
,2022-12-07T10:16:50Z,4.827800273895264,value,grealTempAussenGefiltert
