Unnamed: 0,_time,_value,_field,_measurement
,2022-12-15T13:27:43Z,0.1599999964237213,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T13:37:33Z,0.1800000071525573,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T13:42:33Z,0.1899999976158142,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T13:47:33Z,0.1899999976158142,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T13:52:33Z,0.209999993443489,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T13:57:32Z,0.2300000041723251,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T14:02:32Z,0.2300000041723251,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T14:07:33Z,0.2300000041723251,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T14:12:33Z,0.2399999946355819,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T14:17:32Z,0.1800000071525573,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T14:29:56Z,0.1299999952316284,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T14:34:56Z,1.090000033378601,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T14:42:46Z,2.4100000858306885,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T14:47:46Z,2.369999885559082,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T14:52:46Z,2.309999942779541,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T14:57:56Z,2.25,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T15:02:56Z,2.289999961853028,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T15:07:56Z,2.2699999809265137,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T15:12:55Z,2.2799999713897705,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T15:22:56Z,2.3299999237060547,value,grealThermLeistungWaermeFBH_Nord
,2022-12-15T15:27:56Z,2.4600000381469727,value,grealThermLeistungWaermeFBH_Nord
