Unnamed: 0,_time,_value,_field,_measurement
,2022-12-15T13:27:43Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T13:37:33Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T13:42:33Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T13:47:33Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T13:52:33Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T13:57:32Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T14:02:32Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T14:07:33Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T14:12:33Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T14:17:32Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T14:29:56Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T14:34:56Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T14:42:46Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T14:47:46Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T14:52:46Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T14:57:56Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T15:02:56Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T15:07:56Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T15:12:56Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T15:22:56Z,0.0,value,grealThermLeistungWaermeHalle
,2022-12-15T15:27:56Z,0.0,value,grealThermLeistungWaermeHalle
