Unnamed: 0,_time,_value,_field,_measurement
,2022-12-07T08:37:18Z,71.5,value,greal_BatterieLadeZustand
,2022-12-07T08:37:38Z,71.5,value,greal_BatterieLadeZustand
,2022-12-07T08:37:58Z,71.5,value,greal_BatterieLadeZustand
,2022-12-07T08:38:18Z,71.5,value,greal_BatterieLadeZustand
,2022-12-07T08:38:38Z,71.5,value,greal_BatterieLadeZustand
,2022-12-07T08:38:58Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:39:18Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:39:38Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:39:58Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:40:18Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:40:38Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:40:58Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:41:18Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:41:38Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:41:58Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:42:18Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:42:38Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:42:58Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:43:18Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:43:38Z,71.25,value,greal_BatterieLadeZustand
,2022-12-07T08:43:58Z,71.25,value,greal_BatterieLadeZustand
