Unnamed: 0,_time,_value,_field,_measurement
,2022-12-22T14:24:12Z,28.521953582763672,value,greal_E_GebaeudeNord
,2022-12-22T14:24:32Z,28.53794479370117,value,greal_E_GebaeudeNord
,2022-12-22T14:24:52Z,28.553936004638672,value,greal_E_GebaeudeNord
,2022-12-22T14:25:12Z,28.568927764892575,value,greal_E_GebaeudeNord
,2022-12-22T14:25:32Z,28.58491897583008,value,greal_E_GebaeudeNord
,2022-12-22T14:25:52Z,28.600910186767575,value,greal_E_GebaeudeNord
,2022-12-22T14:26:12Z,28.615901947021484,value,greal_E_GebaeudeNord
,2022-12-22T14:26:32Z,28.631893157958984,value,greal_E_GebaeudeNord
,2022-12-22T14:26:52Z,28.647884368896484,value,greal_E_GebaeudeNord
,2022-12-22T14:27:12Z,28.663875579833984,value,greal_E_GebaeudeNord
,2022-12-22T14:27:32Z,28.67886734008789,value,greal_E_GebaeudeNord
,2022-12-22T14:27:52Z,28.6938591003418,value,greal_E_GebaeudeNord
,2022-12-22T14:28:12Z,28.709850311279297,value,greal_E_GebaeudeNord
,2022-12-22T14:28:32Z,28.724842071533203,value,greal_E_GebaeudeNord
,2022-12-22T14:28:52Z,28.740833282470703,value,greal_E_GebaeudeNord
,2022-12-22T14:29:12Z,28.756824493408203,value,greal_E_GebaeudeNord
,2022-12-22T14:29:32Z,28.772815704345703,value,greal_E_GebaeudeNord
,2022-12-22T14:29:52Z,28.78780746459961,value,greal_E_GebaeudeNord
,2022-12-22T14:30:12Z,28.80379867553711,value,greal_E_GebaeudeNord
,2022-12-22T14:30:44Z,28.82678604125977,value,greal_E_GebaeudeNord
,2022-12-22T14:31:04Z,28.839778900146484,value,greal_E_GebaeudeNord
