Unnamed: 0,_time,_value,_field,_measurement
,2022-12-19T15:28:02Z,0,value,greal_K_WMZ_P_WP
,2022-12-19T15:28:22Z,0,value,greal_K_WMZ_P_WP
,2022-12-19T15:28:42Z,0,value,greal_K_WMZ_P_WP
,2022-12-19T15:29:02Z,0,value,greal_K_WMZ_P_WP
,2022-12-19T15:29:22Z,0,value,greal_K_WMZ_P_WP
,2022-12-19T15:29:42Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:44:28Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:44:43Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:45:03Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:45:23Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:45:43Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:46:03Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:46:23Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:46:43Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:47:03Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:47:23Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:47:43Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:48:03Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:48:23Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:48:43Z,0,value,greal_K_WMZ_P_WP
,2022-12-20T07:49:03Z,0,value,greal_K_WMZ_P_WP
