Unnamed: 0,_time,_value,_field,_measurement
,2022-12-07T14:11:41Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:12:01Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:12:21Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:12:41Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:13:01Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:13:21Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:13:41Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:14:01Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:14:21Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:14:41Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:15:01Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:15:21Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:15:41Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:16:01Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:16:21Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:16:41Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:17:01Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:17:21Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:17:41Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:18:01Z,0.0,value,greal_LeistungBHKW2
,2022-12-07T14:18:21Z,0.0,value,greal_LeistungBHKW2
