Unnamed: 0,_time,_value,_field,_measurement
,2022-12-08T08:01:49Z,3.64850664138794,value,greal_LeistungTankStelle2
,2022-12-08T08:02:09Z,3.806018352508545,value,greal_LeistungTankStelle2
,2022-12-08T08:02:29Z,3.459683895111084,value,greal_LeistungTankStelle2
,2022-12-08T08:02:49Z,3.3183534145355225,value,greal_LeistungTankStelle2
,2022-12-08T08:03:09Z,3.456361055374145,value,greal_LeistungTankStelle2
,2022-12-08T08:03:29Z,3.3312554359436035,value,greal_LeistungTankStelle2
,2022-12-08T08:03:49Z,3.4470903873443604,value,greal_LeistungTankStelle2
,2022-12-08T08:04:09Z,3.328174352645874,value,greal_LeistungTankStelle2
,2022-12-08T08:04:29Z,3.445770263671875,value,greal_LeistungTankStelle2
,2022-12-08T08:04:49Z,3.343636512756348,value,greal_LeistungTankStelle2
,2022-12-08T08:05:09Z,3.786359071731568,value,greal_LeistungTankStelle2
,2022-12-08T08:05:29Z,3.679709672927856,value,greal_LeistungTankStelle2
,2022-12-08T08:05:49Z,3.7921626567840576,value,greal_LeistungTankStelle2
,2022-12-08T08:06:09Z,3.6728811264038086,value,greal_LeistungTankStelle2
,2022-12-08T08:06:29Z,3.780572891235352,value,greal_LeistungTankStelle2
,2022-12-08T08:06:49Z,3.665398836135864,value,greal_LeistungTankStelle2
,2022-12-08T08:07:09Z,3.7740848064422607,value,greal_LeistungTankStelle2
,2022-12-08T08:07:29Z,3.661330461502075,value,greal_LeistungTankStelle2
,2022-12-08T08:07:49Z,3.765468597412109,value,greal_LeistungTankStelle2
,2022-12-08T08:08:09Z,3.4228274822235107,value,greal_LeistungTankStelle2
,2022-12-08T08:08:29Z,3.327558755874634,value,greal_LeistungTankStelle2
