Unnamed: 0,_time,_value,_field,_measurement
,2022-12-13T11:16:39Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:16:59Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:17:19Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:17:39Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:18:03Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:18:47Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:19:07Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:19:27Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:19:47Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:20:07Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:20:27Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:20:47Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:21:07Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:21:27Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:21:58Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:22:18Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:22:38Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:23:04Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:23:24Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:23:44Z,0.0,value,greal_WMZ_Hz_Erz_WP
,2022-12-13T11:24:04Z,0.0,value,greal_WMZ_Hz_Erz_WP
