Unnamed: 0,_time,_value,_field,_measurement
,2022-12-19T09:34:12Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:34:32Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:34:52Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:35:12Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:35:32Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:35:52Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:36:12Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:36:32Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:36:52Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:37:12Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:37:32Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:37:52Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:38:12Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:38:32Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:38:52Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:39:12Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:39:32Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:39:52Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:40:12Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:40:32Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
,2022-12-19T09:40:52Z,153.57000732421875,value,greal_W_WMZ_E_bhkw2
