Unnamed: 0,_time,_value,_field,_measurement
,2022-12-19T09:23:24Z,6.75,value,greal_W_WMZ_P_Sued
,2022-12-19T09:23:44Z,6.71999979019165,value,greal_W_WMZ_P_Sued
,2022-12-19T09:24:04Z,6.71999979019165,value,greal_W_WMZ_P_Sued
,2022-12-19T09:24:24Z,6.730000019073486,value,greal_W_WMZ_P_Sued
,2022-12-19T09:24:44Z,6.730000019073486,value,greal_W_WMZ_P_Sued
,2022-12-19T09:25:04Z,6.730000019073486,value,greal_W_WMZ_P_Sued
,2022-12-19T09:25:24Z,6.71999979019165,value,greal_W_WMZ_P_Sued
,2022-12-19T09:25:44Z,6.730000019073486,value,greal_W_WMZ_P_Sued
,2022-12-19T09:26:04Z,6.659999847412109,value,greal_W_WMZ_P_Sued
,2022-12-19T09:26:24Z,6.659999847412109,value,greal_W_WMZ_P_Sued
,2022-12-19T09:26:44Z,6.650000095367432,value,greal_W_WMZ_P_Sued
,2022-12-19T09:27:04Z,6.53000020980835,value,greal_W_WMZ_P_Sued
,2022-12-19T09:27:24Z,6.53000020980835,value,greal_W_WMZ_P_Sued
,2022-12-19T09:27:44Z,6.519999980926514,value,greal_W_WMZ_P_Sued
,2022-12-19T09:28:04Z,6.440000057220459,value,greal_W_WMZ_P_Sued
,2022-12-19T09:28:24Z,6.429999828338623,value,greal_W_WMZ_P_Sued
,2022-12-19T09:28:44Z,6.429999828338623,value,greal_W_WMZ_P_Sued
,2022-12-19T09:29:04Z,6.420000076293945,value,greal_W_WMZ_P_Sued
,2022-12-19T09:29:24Z,6.420000076293945,value,greal_W_WMZ_P_Sued
,2022-12-19T09:29:44Z,6.420000076293945,value,greal_W_WMZ_P_Sued
,2022-12-19T09:30:04Z,6.440000057220459,value,greal_W_WMZ_P_Sued
