Unnamed: 0,_time,_value,_field,_measurement
,2022-12-22T13:42:33.264Z,5.797350902507512,value,green_t3
,2022-12-22T13:42:50.253Z,0.1,value,green_t3
,2022-12-22T13:42:50.746Z,0.1,value,green_t3
,2022-12-22T13:42:50.938Z,0.1,value,green_t3
,2022-12-22T13:42:52.734Z,0.1,value,green_t3
,2022-12-22T13:47:35.997Z,5.797350902507512,value,green_t3
,2022-12-22T13:52:36.04Z,5.797350902507512,value,green_t3
,2022-12-22T13:57:36.028Z,5.797350902507512,value,green_t3
,2022-12-22T16:38:38.142Z,0.0,value,green_t3
,2022-12-22T17:18:09.689Z,0.0,value,green_t3
,2022-12-22T17:48:09.699Z,0.0,value,green_t3
,2022-12-22T18:18:09.686Z,0.0,value,green_t3
,2022-12-22T18:48:09.688Z,0.0,value,green_t3
,2022-12-22T19:18:09.693Z,0.0,value,green_t3
,2022-12-22T19:48:09.692Z,0.0,value,green_t3
,2022-12-22T20:18:09.702Z,0.0,value,green_t3
,2022-12-22T20:48:09.69Z,0.0,value,green_t3
,2022-12-22T21:18:09.693Z,0.0,value,green_t3
,2022-12-22T21:48:09.7Z,0.0,value,green_t3
,2022-12-22T22:18:09.703Z,0.0,value,green_t3
,2022-12-22T22:48:09.705Z,0.0,value,green_t3
