Unnamed: 0,_time,_value,_field,_measurement
,2022-12-14T13:46:49Z,26.0,value,realIstTempRuecklPuffAltbau
,2022-12-14T14:04:48Z,27.299999237060547,value,realIstTempRuecklPuffAltbau
,2022-12-14T14:09:48Z,29.700000762939453,value,realIstTempRuecklPuffAltbau
,2022-12-14T14:14:48Z,30.899999618530277,value,realIstTempRuecklPuffAltbau
,2022-12-14T14:21:00Z,30.700000762939453,value,realIstTempRuecklPuffAltbau
,2022-12-14T14:30:52Z,30.600000381469727,value,realIstTempRuecklPuffAltbau
,2022-12-14T14:40:41Z,30.399999618530277,value,realIstTempRuecklPuffAltbau
,2022-12-14T14:45:41Z,30.299999237060547,value,realIstTempRuecklPuffAltbau
,2022-12-14T14:50:41Z,30.200000762939453,value,realIstTempRuecklPuffAltbau
,2022-12-14T14:56:01Z,30.100000381469727,value,realIstTempRuecklPuffAltbau
,2022-12-14T15:01:01Z,30.0,value,realIstTempRuecklPuffAltbau
,2022-12-14T15:06:01Z,29.899999618530277,value,realIstTempRuecklPuffAltbau
,2022-12-14T15:13:43Z,29.799999237060547,value,realIstTempRuecklPuffAltbau
,2022-12-14T15:22:59Z,29.5,value,realIstTempRuecklPuffAltbau
,2022-12-14T15:27:58Z,29.399999618530277,value,realIstTempRuecklPuffAltbau
,2022-12-14T15:39:22Z,30.100000381469727,value,realIstTempRuecklPuffAltbau
,2022-12-14T15:47:14Z,32.29999923706055,value,realIstTempRuecklPuffAltbau
,2022-12-14T15:52:14Z,32.29999923706055,value,realIstTempRuecklPuffAltbau
,2022-12-14T16:02:38Z,32.099998474121094,value,realIstTempRuecklPuffAltbau
,2022-12-14T16:07:38Z,32.0,value,realIstTempRuecklPuffAltbau
,2022-12-14T16:12:38Z,31.899999618530277,value,realIstTempRuecklPuffAltbau
