Unnamed: 0,_time,_value,_field,_measurement
,2022-12-14T13:40:15Z,55.0,value,realIstTempWarmWasOben
,2022-12-14T13:40:56Z,55.0,value,realIstTempWarmWasOben
,2022-12-14T13:41:16Z,55.0,value,realIstTempWarmWasOben
,2022-12-14T13:41:36Z,55.0,value,realIstTempWarmWasOben
,2022-12-14T13:42:09Z,55.0,value,realIstTempWarmWasOben
,2022-12-14T13:42:29Z,55.0,value,realIstTempWarmWasOben
,2022-12-14T13:42:49Z,55.0,value,realIstTempWarmWasOben
,2022-12-14T13:43:09Z,55.0,value,realIstTempWarmWasOben
,2022-12-14T13:43:29Z,55.0,value,realIstTempWarmWasOben
,2022-12-14T13:43:49Z,55.0,value,realIstTempWarmWasOben
,2022-12-14T13:44:09Z,55.0,value,realIstTempWarmWasOben
,2022-12-14T13:44:29Z,54.900001525878906,value,realIstTempWarmWasOben
,2022-12-14T13:44:49Z,54.900001525878906,value,realIstTempWarmWasOben
,2022-12-14T13:45:09Z,54.900001525878906,value,realIstTempWarmWasOben
,2022-12-14T13:45:29Z,54.900001525878906,value,realIstTempWarmWasOben
,2022-12-14T13:45:49Z,54.900001525878906,value,realIstTempWarmWasOben
,2022-12-14T13:46:09Z,54.900001525878906,value,realIstTempWarmWasOben
,2022-12-14T13:46:29Z,54.900001525878906,value,realIstTempWarmWasOben
,2022-12-14T13:46:49Z,54.900001525878906,value,realIstTempWarmWasOben
,2022-12-14T13:47:09Z,54.900001525878906,value,realIstTempWarmWasOben
,2022-12-14T13:47:29Z,54.900001525878906,value,realIstTempWarmWasOben
