Unnamed: 0,_time,_value,_field,_measurement
,2022-12-14T13:40:15Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:40:56Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:41:16Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:41:36Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:42:09Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:42:29Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:42:49Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:43:09Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:43:29Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:43:49Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:44:09Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:44:29Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:44:49Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:45:09Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:45:29Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:45:49Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:46:09Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:46:29Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:46:49Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:47:09Z,28.5,value,realIstTempWarmWasUnt
,2022-12-14T13:47:29Z,28.5,value,realIstTempWarmWasUnt
