Unnamed: 0,_time,_value,_field,_measurement
,2023-04-03T11:22:24Z,1.6326758861541748,value,realLeistungGebNord
,2023-04-03T11:22:25Z,1.6326758861541748,value,realLeistungGebNord
,2023-04-03T11:22:40Z,1.979541301727295,value,realLeistungGebNord
,2023-04-03T11:23:00Z,1.7994930744171145,value,realLeistungGebNord
,2023-04-03T11:23:20Z,1.859772562980652,value,realLeistungGebNord
,2023-04-03T11:23:40Z,1.6906229257583618,value,realLeistungGebNord
,2023-04-03T11:24:00Z,1.938477635383606,value,realLeistungGebNord
,2023-04-03T11:24:20Z,1.762166142463684,value,realLeistungGebNord
,2023-04-03T11:24:40Z,1.9231411218643188,value,realLeistungGebNord
,2023-04-03T11:25:00Z,1.7482253313064575,value,realLeistungGebNord
,2023-04-03T11:25:20Z,1.9485830068588257,value,realLeistungGebNord
,2023-04-03T11:25:40Z,1.771351933479309,value,realLeistungGebNord
,2023-04-03T11:26:00Z,1.909056663513184,value,realLeistungGebNord
,2023-04-03T11:26:20Z,1.7354224920272827,value,realLeistungGebNord
,2023-04-03T11:26:40Z,1.9358257055282595,value,realLeistungGebNord
,2023-04-03T11:27:00Z,1.7597556114196775,value,realLeistungGebNord
,2023-04-03T11:27:20Z,1.966084122657776,value,realLeistungGebNord
,2023-04-03T11:27:40Z,1.7872605323791504,value,realLeistungGebNord
,2023-04-03T11:28:00Z,1.9080454111099243,value,realLeistungGebNord
,2023-04-03T11:28:20Z,1.7345032691955566,value,realLeistungGebNord
,2023-04-03T11:28:40Z,1.9357311725616453,value,realLeistungGebNord
