Unnamed: 0,_time,_value,_field,_measurement
,2023-04-03T11:22:24Z,5.026764869689941,value,realLeistungGebSued
,2023-04-03T11:22:25Z,5.026764869689941,value,realLeistungGebSued
,2023-04-03T11:22:40Z,5.243897438049316,value,realLeistungGebSued
,2023-04-03T11:23:00Z,5.496442317962647,value,realLeistungGebSued
,2023-04-03T11:23:20Z,5.231428623199463,value,realLeistungGebSued
,2023-04-03T11:23:40Z,4.956181526184082,value,realLeistungGebSued
,2023-04-03T11:24:00Z,5.034497261047363,value,realLeistungGebSued
,2023-04-03T11:24:20Z,5.3733906745910645,value,realLeistungGebSued
,2023-04-03T11:24:40Z,4.958912372589111,value,realLeistungGebSued
,2023-04-03T11:25:00Z,5.255727767944336,value,realLeistungGebSued
,2023-04-03T11:25:20Z,5.521731853485107,value,realLeistungGebSued
,2023-04-03T11:25:40Z,4.8195085525512695,value,realLeistungGebSued
,2023-04-03T11:26:00Z,4.904197692871094,value,realLeistungGebSued
,2023-04-03T11:26:20Z,7.2877326011657715,value,realLeistungGebSued
,2023-04-03T11:26:40Z,4.713785171508789,value,realLeistungGebSued
,2023-04-03T11:27:00Z,5.415271759033203,value,realLeistungGebSued
,2023-04-03T11:27:20Z,4.9582295417785645,value,realLeistungGebSued
,2023-04-03T11:27:40Z,5.595061779022217,value,realLeistungGebSued
,2023-04-03T11:28:00Z,5.02536153793335,value,realLeistungGebSued
,2023-04-03T11:28:20Z,5.135026454925537,value,realLeistungGebSued
,2023-04-03T11:28:40Z,5.090015411376953,value,realLeistungGebSued
