Unnamed: 0,_time,_value,_field,_measurement
,2022-12-20T15:26:15Z,146.11678203592822,value,real_BatterieVerlustEnergie
,2022-12-20T15:26:35Z,146.04937784431146,value,real_BatterieVerlustEnergie
,2022-12-20T15:26:55Z,145.98177425149711,value,real_BatterieVerlustEnergie
,2022-12-20T15:27:15Z,146.3770748502995,value,real_BatterieVerlustEnergie
,2022-12-20T15:27:35Z,146.3910720238096,value,real_BatterieVerlustEnergie
,2022-12-20T15:27:55Z,146.63511369047626,value,real_BatterieVerlustEnergie
,2022-12-20T15:28:15Z,146.8268196428572,value,real_BatterieVerlustEnergie
,2022-12-20T15:28:35Z,147.00658035714292,value,real_BatterieVerlustEnergie
,2022-12-20T15:28:55Z,146.98735088757402,value,real_BatterieVerlustEnergie
,2022-12-20T15:29:15Z,147.1329195266273,value,real_BatterieVerlustEnergie
,2022-12-20T15:29:35Z,147.40703195266278,value,real_BatterieVerlustEnergie
,2022-12-20T15:29:55Z,147.31467337278113,value,real_BatterieVerlustEnergie
,2022-12-20T15:30:15Z,147.49632189349114,value,real_BatterieVerlustEnergie
,2022-12-20T15:30:35Z,147.68913195266276,value,real_BatterieVerlustEnergie
,2022-12-20T15:30:55Z,147.84344082840238,value,real_BatterieVerlustEnergie
,2022-12-20T15:31:24Z,148.99636213017752,value,real_BatterieVerlustEnergie
,2022-12-20T15:32:04Z,149.0994239520958,value,real_BatterieVerlustEnergie
,2022-12-20T15:32:24Z,149.8821994047619,value,real_BatterieVerlustEnergie
,2022-12-20T15:32:44Z,150.65399464285716,value,real_BatterieVerlustEnergie
,2022-12-20T15:33:04Z,151.186994047619,value,real_BatterieVerlustEnergie
,2022-12-20T15:33:36Z,152.82412958579877,value,real_BatterieVerlustEnergie
