Unnamed: 0,_time,_value,_field,_measurement
,2022-12-13T15:32:37Z,87.0371,value,real_BatterieVerlustLeistung
,2022-12-13T15:32:57Z,86.422,value,real_BatterieVerlustLeistung
,2022-12-13T15:33:17Z,84.5898,value,real_BatterieVerlustLeistung
,2022-12-13T15:33:37Z,87.0371,value,real_BatterieVerlustLeistung
,2022-12-13T15:33:57Z,93.7236,value,real_BatterieVerlustLeistung
,2022-12-13T15:34:17Z,106.0417,value,real_BatterieVerlustLeistung
,2022-12-13T15:34:37Z,115.3136,value,real_BatterieVerlustLeistung
,2022-12-13T15:34:57Z,100.2303,value,real_BatterieVerlustLeistung
,2022-12-13T15:35:17Z,102.6648,value,real_BatterieVerlustLeistung
,2022-12-13T15:35:37Z,105.4704,value,real_BatterieVerlustLeistung
,2022-12-13T15:35:57Z,103.3358,value,real_BatterieVerlustLeistung
,2022-12-13T15:36:17Z,97.0495,value,real_BatterieVerlustLeistung
,2022-12-13T15:36:37Z,109.586,value,real_BatterieVerlustLeistung
,2022-12-13T15:36:57Z,98.3565,value,real_BatterieVerlustLeistung
,2022-12-13T15:37:17Z,105.131,value,real_BatterieVerlustLeistung
,2022-12-13T15:37:37Z,106.1509,value,real_BatterieVerlustLeistung
,2022-12-13T15:37:57Z,101.767,value,real_BatterieVerlustLeistung
,2022-12-13T15:38:17Z,135.9674,value,real_BatterieVerlustLeistung
,2022-12-13T15:38:37Z,193.9127,value,real_BatterieVerlustLeistung
,2022-12-13T15:38:57Z,178.5148,value,real_BatterieVerlustLeistung
,2022-12-13T15:39:17Z,95.6246,value,real_BatterieVerlustLeistung
