Unnamed: 0,_time,_value,_field,_measurement
,2022-12-12T15:46:47Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:47:06Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:47:26Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:47:46Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:48:06Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:48:26Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:48:46Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:49:06Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:49:26Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:49:46Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:50:06Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:50:26Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:50:46Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:51:06Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:51:26Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:51:46Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:52:06Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:52:26Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:52:46Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:53:06Z,0.0,value,real_aktVerbrauchGasBhkwImp2
,2022-12-12T15:53:26Z,0.0,value,real_aktVerbrauchGasBhkwImp2
