Unnamed: 0,_time,_value,_field,_measurement
,2024-02-27T09:12:41Z,2.7,value,wind_now
,2024-02-27T09:13:00Z,2.7,value,wind_now
,2024-02-27T09:13:22Z,2.7,value,wind_now
,2024-02-27T09:14:20Z,2.7,value,wind_now
,2024-02-27T09:21:18Z,2.8,value,wind_now
,2024-02-27T09:21:38Z,2.8,value,wind_now
,2024-02-27T09:21:58Z,2.8,value,wind_now
,2024-02-27T09:22:18Z,2.8,value,wind_now
,2024-02-27T09:22:38Z,2.8,value,wind_now
,2024-02-27T09:22:58Z,2.8,value,wind_now
,2024-02-27T09:23:18Z,2.8,value,wind_now
,2024-02-27T09:23:51Z,2.8,value,wind_now
,2024-02-27T09:24:17Z,2.8,value,wind_now
,2024-02-27T09:24:36Z,2.8,value,wind_now
,2024-02-27T09:24:59Z,2.8,value,wind_now
,2024-02-27T09:25:21Z,2.8,value,wind_now
,2024-02-27T09:25:40Z,2.8,value,wind_now
,2024-02-27T09:26:14Z,2.8,value,wind_now
,2024-02-27T09:26:34Z,2.8,value,wind_now
,2024-02-27T09:26:54Z,2.8,value,wind_now
,2024-02-27T09:27:22Z,2.8,value,wind_now
