Unnamed: 0,_time,_value,_field,_measurement
,2024-02-27T09:21:18Z,2.6,value,wind_tomorrow
,2024-02-27T09:21:38Z,2.6,value,wind_tomorrow
,2024-02-27T09:21:58Z,2.6,value,wind_tomorrow
,2024-02-27T09:22:18Z,2.6,value,wind_tomorrow
,2024-02-27T09:22:38Z,2.6,value,wind_tomorrow
,2024-02-27T09:22:58Z,2.6,value,wind_tomorrow
,2024-02-27T09:23:18Z,2.6,value,wind_tomorrow
,2024-02-27T09:23:51Z,2.6,value,wind_tomorrow
,2024-02-27T09:24:17Z,2.6,value,wind_tomorrow
,2024-02-27T09:24:36Z,2.6,value,wind_tomorrow
,2024-02-27T09:24:59Z,2.6,value,wind_tomorrow
,2024-02-27T09:25:22Z,2.6,value,wind_tomorrow
,2024-02-27T09:25:40Z,2.6,value,wind_tomorrow
,2024-02-27T09:26:14Z,2.6,value,wind_tomorrow
,2024-02-27T09:26:34Z,2.6,value,wind_tomorrow
,2024-02-27T09:26:54Z,2.6,value,wind_tomorrow
,2024-02-27T09:27:22Z,2.6,value,wind_tomorrow
,2024-02-27T09:27:39Z,2.6,value,wind_tomorrow
,2024-02-27T09:27:59Z,2.6,value,wind_tomorrow
,2024-02-27T09:28:19Z,2.6,value,wind_tomorrow
,2024-02-27T09:28:39Z,2.6,value,wind_tomorrow
