file_name,median_interval_sec,min_interval_sec,max_interval_sec,interval_label,interval_regular,head_rows_parsed
A.csv,5.0,5.0,10.0,~5s,True,30
TimerRuecklaufAltbau.csv,300.0,299.0,1555.0,~5min,False,30
V_realAZmax.csv,2312.5,300.0,54959.0,~1hr,False,30
V_realAZmin.csv,2312.5,300.0,54959.0,~1hr,False,30
V_realHysWP.csv,2700.0,300.0,85831.0,~1hr,False,30
V_realMaxVL_WP.csv,2312.5,300.0,54959.0,~1hr,False,30
V_realMinVL_WPcool.csv,2312.5,300.0,54959.0,~1hr,False,30
V_realSollTempAZmax.csv,2313.5,300.0,54959.0,~1hr,False,30
V_real_AbtauTemperaturBetrieb.csv,3780.0,300.0,85831.0,~63min,False,30
V_real_Nachtabsenkung.csv,2312.5,300.0,54959.0,~1hr,False,30
V_real_NachtabsenkungY4.csv,2312.5,300.0,54959.0,~1hr,False,30
V_real_maxAT.csv,2313.0,300.0,54959.0,~1hr,False,30
V_real_maxATY4.csv,2312.5,300.0,54959.0,~1hr,False,30
V_real_maxAT_K.csv,3240.5,300.0,54959.0,~1hr,False,30
V_real_maxVorlaufTemp.csv,3240.5,300.0,54959.0,~1hr,False,30
V_real_maxVorlaufTempK.csv,3240.5,300.0,54959.0,~1hr,False,30
V_real_maxVorlaufTempY4.csv,2313.0,300.0,54959.0,~1hr,False,30
V_real_minAT.csv,2313.0,300.0,54959.0,~1hr,False,30
V_real_minATY4.csv,2312.5,300.0,54959.0,~1hr,False,30
V_real_minAT_K.csv,3241.0,300.0,54959.0,~1hr,False,30
V_real_minVorlaufTemp.csv,2313.0,300.0,54959.0,~1hr,False,30
V_real_minVorlaufTempK.csv,2313.0,300.0,54959.0,~1hr,False,30
V_real_minVorlaufTempY4.csv,2313.0,300.0,54959.0,~1hr,False,30
VrealSpeicherWW_BHKW_Aus.csv,20.0,20.0,20.0,~20s,True,7
VrealSpeicherWW_BHKW_Ein.csv,20.0,20.0,21.0,~20s,True,7
Vreal_WP_Ein_Batterie.csv,2312.5,300.0,54959.0,~1hr,False,30
Vreal_WP_Ein_BatterieKritsch.csv,2700.0,300.0,54959.0,~1hr,False,30
Vreal_WP_Ein_BatterieKritschHys.csv,4662.0,300.0,85831.0,~78min,False,30
Vreal_maxSpeicher.csv,20.0,20.0,21.0,~20s,True,7
Vreal_maxTempSpeicherUnten.csv,20.0,20.0,21.0,~20s,True,7
Vreal_minSpeicher.csv,20.0,20.0,20.0,~20s,True,7
_value.csv,1.0,1.0,1.0,~5s,True,30
dintVolGasVerbrauchBhkwImp1.csv,20.0,1.0,40.0,~20s,False,30
dintVolGasVerbrauchBhkwImp2.csv,20.0,20.0,45.0,~20s,False,30
grealCluster_1_Ladung.csv,5.0,5.0,14.0,~5s,True,30
grealCluster_1_Spannung.csv,20.0,20.0,23.0,~20s,True,30
grealCluster_2_Ladung.csv,20.0,20.0,23.0,~20s,True,30
grealCluster_2_Spannung.csv,20.0,20.0,23.0,~20s,True,30
grealCluster_3_Ladung.csv,20.0,20.0,23.0,~20s,True,30
grealCluster_3_Spannung.csv,20.0,20.0,23.0,~20s,True,30
